Uniprot ID	iBAQ A_CLPP_WT_01_01	iBAQ A_CLPP_WT_01_02	iBAQ A_CLPP_WT_01_03	iBAQ A_CLPP_WT_01_04	iBAQ A_CLPP_WT_01_05	iBAQ A_CLPP_WT_01_06	iBAQ A_CLPP_WT_01_07	iBAQ A_CLPP_WT_01_08	iBAQ A_CLPP_WT_01_09	iBAQ A_CLPP_WT_01_10	iBAQ A_CLPP_WT_01_11	iBAQ A_CLPP_WT_01_12	iBAQ A_CLPP_WT_01_13	iBAQ A_CLPP_WT_01_14	iBAQ A_CLPP_WT_01_15	iBAQ A_CLPP_WT_01_16	iBAQ A_CLPP_WT_01_17	iBAQ A_CLPP_WT_01_18	iBAQ A_CLPP_WT_01_19	iBAQ A_CLPP_WT_01_20	iBAQ A_CLPP_WT_01_21	iBAQ A_CLPP_WT_01_22	iBAQ A_CLPP_WT_01_23	iBAQ A_CLPP_WT_01_24	iBAQ A_CLPP_WT_01_25	iBAQ A_CLPP_WT_01_26	iBAQ A_CLPP_WT_01_27	iBAQ A_CLPP_WT_01_28	iBAQ A_CLPP_WT_01_29	iBAQ A_CLPP_WT_01_30	iBAQ A_CLPP_WT_01_31	iBAQ A_CLPP_WT_01_32	iBAQ A_CLPP_WT_01_33	iBAQ A_CLPP_WT_01_34	iBAQ A_CLPP_WT_01_35	iBAQ A_CLPP_WT_01_36	iBAQ A_CLPP_WT_01_37	iBAQ A_CLPP_WT_01_38	iBAQ A_CLPP_WT_01_39	iBAQ A_CLPP_WT_01_40	iBAQ A_CLPP_WT_01_41	iBAQ A_CLPP_WT_01_42	iBAQ A_CLPP_WT_01_43	iBAQ A_CLPP_WT_01_44	iBAQ A_CLPP_WT_01_45	iBAQ A_CLPP_WT_01_46	iBAQ A_CLPP_WT_01_47	iBAQ A_CLPP_WT_01_48	iBAQ A_CLPP_WT_01_49	iBAQ A_CLPP_WT_01_50	iBAQ A_CLPP_WT_01_51	iBAQ A_CLPP_WT_01_52	iBAQ A_CLPP_WT_01_53	iBAQ A_CLPP_WT_01_54	iBAQ A_CLPP_WT_01_55	iBAQ A_CLPP_WT_01_56	iBAQ A_CLPP_WT_01_57	iBAQ A_CLPP_WT_01_58	iBAQ A_CLPP_WT_01_59	iBAQ A_CLPP_WT_01_60
Q9R1P0	0.726934312	0.423223157	0.384500576	0.310762044	0.017209783	0.246066504	0.957996501	0.579172808	0.203351834	0.489193078	0.67723987	0.99464456	0.132797938	0.989771167	0.742484148	0.718502493	0.854575495	0.66278663	0.972848704	0.190001938	0.402299381	0.666989418	0.627297442	0.241201935	0.178691734	0.343699143	0.79764711	0.128407054	0.577062278	0.902162177	0.674967912	0.733583439	0.083568834	0.532935303	0.988617647	0.230423523	0.949202172	0.201533281	0.20343547	0.653533122	0.881425442	0.600154224	0.790035501	0.656290919	0.125752842	0.386105557	0.242051481	0.088369883	0.61169883	0.863543037	0.709423157	0.795640248	0.807028109	0.149943362	0.837141333	0.433431407	0.033485527	0.815714334	0.917100995	0.690006253
Q9QZ47	0.674983923	0.539360095	0.520209198	0.888425821	0.357492839	0.999454907	0.665198132	0.289792572	0.295091504	0.695211165	0.483876169	0.719151174	0.678327018	0.619685322	0.205080043	0.53286258	0.345077069	0.238494552	0.292672535	0.460922625	0.283897547	0.332258354	0.290170059	0.342862019	0.322831093	0.855164723	0.940554888	0.312135393	0.006507151	0.064072803	0.16165758	0.60687378	0.665767087	0.053297062	0.085327582	0.303731169	0.04709383	0.777730912	0.994355836	0.666530698	0.737896139	0.714728111	0.23616996	0.868194247	0.561999976	0.965822685	0.5206005	0.006994984	0.833001937	0.072999267	0.203496639	0.014859593	0.649985535	0.131019364	0.981036965	0.574124974	0.886078413	0.895612202	0.077802314	0.025346367
P97930	0.153406305	0.772047027	0.667801066	0.466195583	0.81354368	0.834784279	0.655113381	0.627103463	0.124928927	0.812013312	0.442965184	0.461310306	0.795637567	0.99708849	0.068101565	0.888743148	0.102202468	0.982792081	0.764857132	0.705442169	0.809120382	0.202182673	0.939753466	0.013337867	0.477948156	0.957247464	0.54335577	0.874563783	0.692292931	0.26168255	0.095623068	0.7498934	0.252107513	0.237425239	0.070655846	0.850591264	0.007582734	0.630712165	0.611464866	0.749904538	0.695927996	0.877443059	0.801579897	0.651004706	0.310437474	0.236253455	0.950778409	0.947761388	0.806876815	0.76726335	0.581005745	0.909937802	0.243100543	0.618187288	0.651852938	0.084640889	0.918639169	0.32837541	0.787784511	0.477200553
E9Q557	0.089878534	0.929502012	0.880820961	0.257238856	0.977591235	0.461009265	0.896610917	0.462582452	0.231794829	0.023796092	0.420272555	0.911044213	0.62952215	0.04156582	0.109948891	0.755769191	0.238630752	0.806979048	0.498130415	0.771164723	0.660815749	0.624820445	0.189600249	0.491999769	0.107731593	0.939361475	0.9233058	0.438282499	0.424215138	0.020158589	0.588179098	0.343409812	0.236155806	0.533621486	0.866834319	0.353657574	0.2677938	0.64556984	0.155748572	0.839834057	0.259454763	0.336492443	0.104338151	0.697451339	0.445034084	0.784325331	0.059781803	0.628595901	0.061828504	0.707190412	0.564861055	0.349451026	0.555954449	0.775339054	0.83730191	0.652713475	0.093495973	0.73961701	0.482628847	0.608405886
Q4JHD9	0.959462926	0.818959322	0.93382035	0.841762686	0.529992499	0.730956281	0.459895697	0.113757901	0.610479363	0.288881227	0.213444527	0.266405969	0.828228865	0.953986453	0.888468817	0.675392896	0.028396506	0.969070682	0.930246265	0.975901498	0.385543366	0.25931386	0.075776654	0.115243629	0.146851573	0.155331082	0.715938304	0.741290266	0.62940518	0.409321276	0.142866627	0.17493872	0.958300109	0.36505254	0.591334777	0.595184695	0.274761192	0.158971554	0.200048855	0.888028764	0.470552578	0.658073782	0.569040957	0.037865829	0.576161824	0.563080933	0.31692072	0.80944836	0.168806583	0.448582027	0.978474719	0.713378456	0.342892862	0.97193888	0.887985587	0.876096155	0.801340691	0.142847141	0.024876879	0.518518542
Q8BP67	0.132068619	0.917686033	0.507541119	0.501112512	0.059905839	0.292418336	0.160662537	0.124180857	0.157041551	0.351215069	0.624343076	0.941936861	0.745396353	0.767675095	0.825804789	0.750897012	0.717016832	0.092549297	0.662762822	0.225351452	0.088302275	0.437115568	0.856888399	0.915080142	0.952767707	0.473073566	0.101798231	0.666549943	0.924819949	0.225700197	0.857499148	0.301970895	0.583296204	0.344987114	0.641357745	0.829879571	0.091126927	0.967163954	0.903495392	0.810458972	0.464560029	0.008347362	0.759956439	0.88260604	0.048169383	0.014713375	0.973836752	0.286344548	0.994547182	0.417873064	0.801016267	0.109121172	0.496303867	0.65472891	0.889208569	0.812955528	0.170875216	0.854753811	0.09388881	0.428794477
Q5M9K9	0.605123321	0.959143475	0.087748082	0.005512972	0.52830926	0.776570941	0.038862186	0.395736665	0.264453734	0.698055585	0.870430329	0.908295441	0.522808339	0.282819319	0.099002649	0.867775045	0.35876914	0.03851783	0.05373946	0.397372933	0.962074001	0.592800577	0.585176419	0.847299828	0.794671133	0.342115172	0.093985487	0.113215844	0.331366144	0.477531072	0.275203884	0.745889195	0.447342807	0.579310628	0.165534971	0.490435678	0.36994613	0.178838724	0.815919589	0.537943936	0.363613149	0.108661711	0.72542085	0.125586258	0.046149705	0.999844809	0.038467859	0.348409247	0.961683683	0.76476901	0.761250002	0.966065495	0.648703808	0.367480183	0.838795715	0.728465865	0.736089795	0.110656971	0.085372325	0.442742248
Q564F3	0.282706392	0.671729727	0.8492396	0.498272668	0.644524765	0.863475083	0.220145953	0.99509944	0.208981918	0.645917507	0.288461671	0.19325954	0.075143468	0.165046768	0.985887056	0.261832513	0.503855965	0.240026368	0.740900794	0.145976806	0.634792527	0.779823424	0.518946632	0.96555522	0.563569704	0.856553373	0.632492868	0.54911673	0.535432768	0.029762429	0.377285101	0.492253589	0.430413407	0.485115474	0.367041211	0.200628303	0.8584945	0.42418362	0.35474795	0.057877376	0.187602504	0.521674868	0.893727675	0.462096823	0.175092758	0.331796571	0.143306174	0.052377644	0.856237234	0.699547757	0.285496113	0.146188508	0.769955753	0.569483076	0.581027667	0.861708764	0.935236184	0.637334107	0.226076317	0.629377472
Q9ES97	0.868571324	0.707326718	0.514256672	0.856338164	0.267677805	0.654850677	0.02884015	0.217664201	0.201549844	0.711085573	0.237104308	0.978444888	0.603883113	0.823400135	0.988987697	0.04006005	0.580278689	0.193364597	0.27897551	0.542558645	0.65228687	0.233862517	0.561199319	0.123972034	0.108856255	0.159253347	0.962713701	0.785187407	0.806182556	0.063057143	0.802149204	0.899785697	0.630410163	0.145102774	0.878607186	0.958709578	0.744736042	0.19163739	0.315230828	0.457431933	0.261236569	0.066135193	0.256820288	0.838662229	0.726838189	0.712879005	0.563863711	0.16040377	0.499205953	0.348548702	0.245435343	0.999468333	0.698905211	0.202045024	0.768723638	0.375174286	0.259926256	0.987963676	0.283174207	0.41595883
Q0PD63	0.121810268	0.957564581	0.849093918	0.73429686	0.102756345	0.240566266	0.382049948	0.941595258	0.534926203	0.774558615	0.314159999	0.935346969	0.741509555	0.949433884	0.58442	0.325048853	0.705010027	0.389914433	0.609456736	0.824440211	0.798669156	0.932494949	0.624103132	0.953432859	0.801116805	0.475676029	0.597355636	0.992788865	0.647279512	0.432317089	0.617326341	0.209148676	0.508252242	0.330507054	0.838489912	0.071227735	0.340896981	0.610520005	0.713525581	0.81932903	0.23703114	0.650148737	0.34955499	0.851183659	0.640850484	0.035818677	0.999767887	0.356416381	0.39851308	0.142780719	0.214429844	0.889323972	0.837775091	0.651490393	0.409704067	0.675260216	0.167134246	0.445446391	0.092642707	0.400478869
Q9CPX8	0.243301478	0.982053224	0.21540235	0.866818729	0.47062681	0.436434541	0.34783746	0.142401032	0.373396868	0.489593859	0.74003793	0.848888437	0.60010272	0.640276791	0.858807797	0.175600006	0.209544336	0.535709939	0.896351768	0.622694912	0.92592372	0.711524035	0.600476692	0.034544351	0.406820372	0.481740223	0.537465196	0.934282302	0.485518357	0.686904502	0.403134446	0.959889363	0.443523784	0.069919698	0.249639058	0.185354806	0.451361351	0.260230205	0.786903089	0.306453143	0.779653213	0.054078005	0.112228704	0.903310047	0.674110118	0.451132784	0.549155988	0.119994811	0.30224755	0.094452134	0.665885803	0.133844038	0.151082462	0.087566687	0.472998861	0.03751273	0.033048562	0.691720069	0.141178276	0.902123912
Q9CR68	0.341539513	0.219607048	0.247353412	0.082173073	0.602970757	0.598136812	0.603596154	0.12529271	0.748949441	0.682909485	0.392240892	0.983206267	0.986068779	0.543205838	0.372456818	0.114500367	0.472177585	0.843619356	0.767804763	0.932821685	0.725403671	0.590192834	0.861935191	0.194932187	0.822970784	0.922848517	0.702062258	0.667606294	0.471442893	0.20710371	0.206714045	0.575955881	0.332731057	0.278777895	0.535457231	0.379478586	0.64435449	0.064115555	0.054429817	0.614487705	0.067598504	0.963977721	0.949249105	0.314057358	0.393107613	0.515459859	0.758607079	0.314071334	0.352398736	0.857560583	0.25062419	0.351754491	0.539211076	0.643401969	0.30791683	0.209999247	0.084029036	0.119464947	0.498829555	0.596035229
Q9D0M3	0.040405893	0.027787344	0.296980167	0.57335051	0.029038304	0.531953392	0.355096017	0.685138679	0.809122004	0.071122659	0.094700231	0.569977407	0.270064682	0.529683111	0.797110895	0.518519499	0.525572979	0.56437339	0.730979433	0.895284056	0.202832633	0.544728489	0.846496304	0.402510916	0.05165759	0.763640883	0.620836414	0.801071208	0.664401809	0.871347142	0.560673545	0.312961203	0.703202563	0.012261676	0.396232874	0.18419342	0.433420002	0.509775276	0.664236207	0.222759112	0.152954658	0.218605823	0.922736777	0.292608599	0.136784272	0.917386117	0.688601809	0.488986067	0.828159249	0.869855636	0.842275252	0.225336961	0.248897203	0.312487594	0.04052414	0.082667808	0.530811008	0.582649003	0.525320138	0.239087862
Q9CQB4	0.924076666	0.933241406	0.836176582	0.337117621	0.776341912	0.801250112	0.590116119	0.911058773	0.564672652	0.662661936	0.922320488	0.422685161	0.447385798	0.096268023	0.353130992	0.933321614	0.655912334	0.102293739	0.10823461	0.956182626	0.279109833	0.391271069	0.536686729	0.920663375	0.772132746	0.613498253	0.104184365	0.808485846	0.064346462	0.951180897	0.862666261	0.585528182	0.957673944	0.234062235	0.306291802	0.760951349	0.618913502	0.892743514	0.551832658	0.152539808	0.070760713	0.900019984	0.575378366	0.147921393	0.969324619	0.706012636	0.049315503	0.401961832	0.893826198	0.13573768	0.659895563	0.130639297	0.548493383	0.318687318	0.346980021	0.16626332	0.353850999	0.346269875	0.59747421	0.094292961
Q9DB77	0.044021944	0.63582355	0.740564585	0.903657686	0.600744072	0.030128583	0.242770346	0.571193747	0.152881418	0.928671443	0.933292706	0.274455868	0.852260364	0.72335869	0.035235044	0.986360228	0.641885485	0.310619053	0.384373916	0.685970063	0.313145521	0.892274613	0.871492558	0.709552689	0.55043604	0.38824389	0.170281822	0.039411333	0.955984377	0.158682318	0.2139574	0.347430603	0.785996416	0.467606362	0.811004286	0.656044833	0.63438561	0.862849649	0.055422449	0.42515447	0.536951822	0.46050762	0.02986302	0.053490037	0.04606995	0.059995279	0.345781128	0.47048928	0.45337109	0.241383121	0.595731916	0.278277251	0.369266333	0.567807572	0.494973516	0.741587219	0.560015843	0.921509001	0.942460074	0.195897864
Q8R1I1	0.727032543	0.099204977	0.087019092	0.342235311	0.614453831	0.928724156	0.216808863	0.168322877	0.211167758	0.006938147	0.025675301	0.226942207	0.041130115	0.915606028	0.039752626	0.963950278	0.384424512	0.830275377	0.748122915	0.915063073	0.959731839	0.23102543	0.110167638	0.983034278	0.711307328	0.466156883	0.520289	0.392671196	0.543100433	0.617619094	0.892410764	0.856306191	0.839838064	0.170636757	0.437953707	0.414697093	0.388171558	0.317173001	0.848706047	0.439388315	0.17699251	0.063179974	0.318199102	0.973711721	0.718430914	0.085417238	0.789786116	0.043570293	0.129038333	0.720141899	0.600098116	0.135951233	0.514530808	0.14814208	0.839563494	0.259356441	0.295935211	0.962290913	0.264341882	0.012554508
Q9CZ13	0.986827151	0.275260725	0.985047992	0.55637491	0.629407749	0.209995753	0.229051001	0.84702381	0.477089769	0.276475773	0.955984485	0.550248258	0.058680144	0.711458592	0.645877647	0.789064108	0.291637672	0.608678275	0.552654944	0.912000459	0.207695402	0.235068468	0.183149149	0.727911571	0.273426441	0.531734107	0.845937049	0.041478063	0.440410685	0.786084774	0.17786058	0.44038093	0.412828643	0.625569435	0.612545988	0.563214493	0.291399741	0.134336707	0.333747955	0.224473964	0.722166187	0.08523981	0.096320983	0.905668092	0.893396978	0.766257894	0.719087798	0.412099767	0.73282515	0.61044742	0.906553668	0.064901711	0.426692892	0.640190201	0.097139575	0.163141703	0.43134121	0.391554119	0.453269268	0.748843446
P63017	0.518517524	0.067690295	0.558943921	0.806232772	0.621109937	0.826162107	0.773881845	0.907489473	0.249188214	0.719896374	0.298990588	0.506092002	0.974733471	0.813073444	0.934051369	0.05053333	0.730912306	0.849228318	0.426135966	0.374294071	0.30548957	0.538602863	0.4868746	0.468610085	0.408365721	0.906871487	0.400810433	0.23352129	0.382864034	0.091875747	0.125479108	0.723977169	0.818831783	0.591873436	0.962450096	0.192027542	0.954834974	0.710479092	0.479070223	0.592005262	0.158005689	0.763590198	0.350251928	0.329568032	0.134111244	0.634212261	0.067797575	0.384857756	0.151885384	0.227286315	0.636050837	0.062812669	0.639026088	0.695183604	0.384630715	0.767057708	0.731552892	0.463452229	0.283720869	0.166056146
UPI0000001A54	0.163264111	0.545320337	0.743961823	0.277217433	0.223324326	0.933083585	0.345396658	0.064389842	0.00968421	0.557846984	0.950480461	0.499799316	0.133908624	0.011324078	0.111350524	0.52471248	0.168022827	0.3757722	0.178063696	0.934995915	0.748018399	0.264051159	0.237123467	0.724905202	0.769199912	0.625148443	0.967868953	0.849291662	0.322549036	0.021379921	0.079882868	0.141584568	0.235912706	0.363725592	0.268656599	0.157084525	0.828710888	0.542684146	0.195359756	0.875815682	0.811516757	0.192059178	0.625023357	0.802941431	0.437860964	0.023932107	0.937047345	0.731149195	0.168914452	0.445612024	0.461395882	0.681790732	0.612903645	0.087485267	0.468258696	0.17037937	0.758874407	0.384152033	0.497035093	0.759761379
P99028	0.262200738	0.177507707	0.487361553	0.291572879	0.178961896	0.508974212	0.743784673	0.197185223	0.11067644	0.116115479	0.262837637	0.216721843	0.095526213	0.089105921	0.234297211	0.227202895	0.58622306	0.476201875	0.790237743	0.379301443	0.66202133	0.833649292	0.192388658	0.33408542	0.478116048	0.976713666	0.599103562	0.188114877	0.48815941	0.088916724	0.393946307	0.168934504	0.623734964	0.329422994	0.24566886	0.55759762	0.855599818	0.206413335	0.997662111	0.267514633	0.788619994	0.290634746	0.832273738	0.164824446	0.002792344	0.562581572	0.240398048	0.669870965	0.706095784	0.23735854	0.143021532	0.434471519	0.972938908	0.581226776	0.292698324	0.256045257	0.658804323	0.082359735	0.267734441	0.827016071
Q8VCT4	0.282513266	0.332644999	0.252291589	0.651289235	0.143967442	0.978968426	0.551035328	0.871718606	0.141429391	0.235458534	0.460546605	0.901931251	0.276258677	0.139504615	0.541717111	0.314456099	0.310852904	0.346370958	0.15569761	0.715014168	0.832405195	0.754449838	0.800954647	0.353982232	0.458572713	0.821704217	0.640754304	0.895752155	0.380983688	0.589769874	0.368332056	0.699435778	0.55136496	0.616830711	0.524416684	0.394469842	0.488395982	0.344902018	0.935433142	0.360971649	0.87549419	0.281604252	0.42971009	0.428321951	0.957355813	0.362350494	0.820621267	0.513220307	0.401781432	0.112639206	0.083144611	0.023350396	0.666074271	0.523335958	0.623709527	0.536972817	0.711731788	0.269199014	0.57835787	0.576489934
