Uniprot ID	F1.interphase.intensity.mean	F2.interphase.intensity.mean	F3.interphase.intensity.mean	F4.interphase.intensity.mean	F5.interphase.intensity.mean	F6.interphase.intensity.mean	F7.interphase.intensity.mean	F8.interphase.intensity.mean	F9.interphase.intensity.mean	F10.interphase.intensity.mean	F11.interphase.intensity.mean	F12.interphase.intensity.mean	F13.interphase.intensity.mean	F14.interphase.intensity.mean	F15.interphase.intensity.mean	F16.interphase.intensity.mean	F17.interphase.intensity.mean	F18.interphase.intensity.mean	F19.interphase.intensity.mean	F20.interphase.intensity.mean	F21.interphase.intensity.mean	F22.interphase.intensity.mean	F23.interphase.intensity.mean	F24.interphase.intensity.mean	F25.interphase.intensity.mean	F26.interphase.intensity.mean	F27.interphase.intensity.mean	F28.interphase.intensity.mean	F29.interphase.intensity.mean	F30.interphase.intensity.mean	F31.interphase.intensity.mean	F32.interphase.intensity.mean	F33.interphase.intensity.mean	F34.interphase.intensity.mean	F35.interphase.intensity.mean	F36.interphase.intensity.mean	F37.interphase.intensity.mean	F38.interphase.intensity.mean	F39.interphase.intensity.mean	F40.interphase.intensity.mean	F41.interphase.intensity.mean	F42.interphase.intensity.mean	F43.interphase.intensity.mean	F44.interphase.intensity.mean	F45.interphase.intensity.mean	F46.interphase.intensity.mean	F47.interphase.intensity.mean	F48.interphase.intensity.mean	F49.interphase.intensity.mean	F50.interphase.intensity.mean	F51.interphase.intensity.mean	F52.interphase.intensity.mean	F53.interphase.intensity.mean	F54.interphase.intensity.mean	F55.interphase.intensity.mean	F56.interphase.intensity.mean	F57.interphase.intensity.mean	F58.interphase.intensity.mean	F59.interphase.intensity.mean	F60.interphase.intensity.mean	F61.interphase.intensity.mean	F62.interphase.intensity.mean	F63.interphase.intensity.mean	F64.interphase.intensity.mean	F65.interphase.intensity.mean
A3KMH1	2493.223538	14588.56845	20238.47347	29281.38586	35994.16377	39672.46068	42593.52604	38648.66202	37671.95445	41980.90416	42834.82552	43873.90853	42286.90697	41785.62365	43836.07471	42025.32908	42023.31978	39848.25175	36113.89077	37272.48079	31820.21566	33266.63744	35953.98231	35091.32203	37886.28982	33966.52302	35577.40025	37675.5786	41795.9045	44334.49901	39864.10075	31881.92137	26938.81302	32194.01055	31605.30303	24416.43674	15529.31329	11274.19994	6624.612452	6018.75023	14235.20667	19254.10571	3929.936761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3KN83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16371.89539	56970.96429	50494.88613	50236.0277	115585.428	231108.7578	265978.1993	163187.6922	76740.23573	54896.88144	43886.07256	47110.91733	41334.27844	25486.32895	6082.078548	4796.182141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4D1P6	25064.87718	116536.536	165871.2135	176911.248	134743.388	121682.4879	124088.1019	107317.0065	60745.59777	56755.04223	69714.49413	45919.9454	45045.78557	22024.32137	13636.00713	8782.149374	5761.968302	3468.165499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A5A3E0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A5D8V6	3721.818666	28949.79806	32737.15822	23210.57461	20424.31664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35658.41437	52577.03098	94392.50456	100006.9212	73146.56004	36129.00562	23986.2215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A5PLL7	17258.81754	57511.71811	100202.1331	107784.1224	143874.1623	150555.3146	206327.9765	180981.0253	189361.4673	205702.9862	190639.4086	232197.384	217309.0811	210494.7207	173528.181	170139.1416	141747.1302	117499.7788	74346.61803	56923.41752	62248.30565	56156.03282	41107.65772	27080.63058	18451.8612	16808.40717	5077.228475	3970.887514	3338.892795	1810.808553	1271.697233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1536.744368	5659.263561	5268.475274	2982.958581
A5PLN9	0	0	0	0	33075.36175	54965.42966	47717.33449	68450.70024	53598.13586	66166.72032	36355.84616	10722.05891	15154.51576	12825.55232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8838.788764	11818.75351	14442.95912	16444.72226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A5YKK6	139788.1957	247930.0253	414788.6029	445478.9577	370885.5574	357907.4994	373132.4546	242750.2443	208740.1869	245537.4121	287604.2561	271624.4689	223363.7059	109815.1955	110432.1111	97574.24354	83404.98955	73484.05861	64578.38866	61097.36848	58307.56645	17585.2453	11612.91716	8275.720492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6NDG6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8017.789161	8167.061534	15816.58765	28668.13279	44331.04405	64855.58966	159701.5819	427871.5684	1460937.978	3767251.013	4944396.911	2405840.83	684258.4808	318028.9421	226281.435	85046.28568	65947.13836	155605.2004	69900.32372	54377.72392	40323.6168	32556.75816	26540.89296	23601.26169	21213.45842	17641.07936	20401.46462	9296.507237	7090.814113	6992.188216
A6NDU8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6NED2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3545.199738	20409.90181	35640.74511	32237.55751	25982.64709	19976.41691	19695.95798	16078.62819	6850.865283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17783.67853	12165.71777	10245.55878	52614.47109	128955.4232	172798.3639	130509.5782	66715.17252	21659.2177	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6NHR9	1290.321838	3938.528155	4488.386179	8285.596843	8849.547958	11740.55706	13452.77491	122859.0505	265045.2935	297057.3269	190545.736	63047.82322	22657.73209	12906.30852	9982.211133	13281.50861	14327.41724	12151.69059	6277.515568	6326.270505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6NIH7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3010.530124	7663.243762	13524.98363	11220.57478	12701.81475	16062.61447	11092.55891	8627.972854	5904.992332	6341.902657	0	0	29465.49929	65344.87337	174165.5327	191530.4587	145181.3304	67987.48928	36711.46384	3556.317114	2637.88578	1636.956325	1696.257774	3682.54263	2709.995593	1175.125249	854.602316	0	0	0	0	0	0
A6NKD9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7383.056963	19812.0772	18280.36765	26404.18375	38427.2507	54464.72019	70205.48846	47271.41844	26871.829	15452.14913	20231.07017	8411.553651	6167.637747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6NKF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19633.95672	84607.74696	291482.1991	388505.4131	257628.675	71764.83759	13814.55155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A7E2V4	24454.46489	40881.53477	60423.26785	71165.51014	55140.59953	70400.34672	70440.66997	46721.93745	25067.8242	20791.02097	18418.94975	21123.77531	15561.68623	14948.16125	13391.29557	12145.30838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A8MXV4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38170.70208	178571.9264	380111.6563	393267.3977	175030.8845	49525.53446	30183.80773	0	0	0	0	0	0	0	0	0	0	0
A9UHW6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11360.31327	55035.5405	117762.5818	137913.1047	101179.918	14074.37152	10969.86558	34530.20285	29379.61613	15920.19438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C9JLW8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10922.15619	53439.88029	72137.9532	117273.4098	170480.9489	130925.9399	82916.35328	53947.83165	27986.10622	0	0	0	5562.312213	1316.058148	12854.83333	53589.43432	3958.17429	49909.88561	70775.89958	63800.51063	14558.19228	9937.554235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L0R6Q1	23017.60891	38515.14193	67466.40695	99401.00717	135022.3143	162265.3987	185136.7029	165959.4441	157242.5581	165713.4002	154590.0333	178186.1444	159935.4292	164286.1456	173545.1753	177649.9949	172846.2517	151029.9867	139873.517	129234.0426	149590.8818	148400.7769	122672.0522	131008.7088	141265.075	150562.0806	146950.0017	142970.6545	162968.4477	155140.251	169011.6894	193377.7686	241543.0996	355747.4717	426347.8711	465158.4939	562771.6196	610553.5229	453700.7895	330220.0296	204409.5558	190889.4029	86896.92065	38804.22831	40545.6996	39523.66903	11772.26564	15453.63606	13687.07444	12300.29593	11691.32706	22798.00414	50295.81153	48051.48246	31214.43468	23478.96144	26377.11854	31103.00589	32635.85996	39728.49394	34700.19085	55818.69582	65765.45075	92943.47448	74960.37866
O00115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7376.998121	20348.68857	125541.8482	451212.9275	792684.9809	845650.1591	622132.5257	280733.1205	103552.9652	54979.32665	35279.19952	26361.18833	22417.99932	16369.73648	14838.11269	14183.33173	11803.77741	2415.264532	3196.98241	2064.015115	2110.303912	931.0478212
O00116	51749.61941	95737.70964	148577.3837	197733.6145	255051.3923	355950.1571	447521.7453	503202.3443	572938.474	744456.7912	781665.9721	743156.6078	636082.844	524667.772	419251.5728	321019.1632	254932.6597	194579.2295	163589.3069	116694.6499	111615.8863	106591.3183	90972.20377	90624.06499	100671.0229	112378.7095	92510.0938	43041.75203	50681.34198	81376.81143	82629.32564	93469.06071	114356.5247	115159.1647	103770.8833	103819.6149	97143.06962	96335.12628	64416.38795	51060.05628	21056.04988	27426.60651	0	0	51641.29506	93981.7754	99687.25201	74706.47615	39596.43454	31593.86208	31368.6335	18237.3958	18096.81049	18735.53802	34700.60552	45530.7639	30045.07147	29016.7596	21665.16525	21892.71921	24424.81367	55569.95225	56784.5683	94884.7447	61681.11594
O00139	22453.31991	58417.07752	83002.94686	72343.3687	46688.86957	40466.07214	40956.49765	39634.98158	41172.43802	38587.77599	23894.57441	8144.912293	7780.697873	5913.023014	6555.266897	10799.5468	12047.83638	11129.00968	10968.37984	11141.03917	12183.25539	13224.05616	12610.57712	14163.62244	23450.93678	29875.87763	31064.91707	33419.16389	32410.22929	36940.29434	52359.90667	59528.08265	53843.36761	55290.75698	37668.41725	26794.31945	26437.30012	14375.14341	8136.194751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2117.579045	2609.74988	1703.870544	0	0	0	1694.992941	2214.856882	2384.314033	1988.383393	1802.013461
O00148	6261.198313	6284.378612	7204.358923	7946.822341	6167.477528	6475.410155	8885.444178	7285.927874	9303.456317	9715.452597	16128.23645	12350.10073	8185.648253	11188.21468	15749.54164	20499.65962	21175.82651	14988.24231	15253.26465	16603.18853	17296.94372	15168.68337	12118.86318	11720.75631	14220.30101	8441.894747	10833.75892	14263.04559	28357.1357	29765.06612	36780.78827	36138.48293	25960.87129	24279.84285	25440.59019	21383.76963	28953.58205	28598.85604	20017.77601	24414.77403	29005.47307	49179.20804	174234.0367	513641.616	876473.417	911118.0222	347719.6714	93365.03046	42587.53039	16617.70058	14201.99463	22679.60104	28295.04148	17916.33144	19395.01525	10371.51102	13791.67776	10125.8978	8590.088148	11073.59909	11361.6449	23938.00475	14554.70229	15585.80612	9934.587064
O00151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9005.196124	22536.1681	52247.13153	87367.59167	94420.61289	133157.8981	206492.5514	391820.304	860012.6217	1450106.564	1809196.749	1373441.335	563402.057	98081.92169	69524.29418	24937.38033	18806.83585	58394.30603	50001.90697	36179.44547	21005.48629	22460.4754	26084.36421	20483.36002	19571.97051	16465.01257	10225.95717	3253.224862	2063.411814	1798.493701	1666.585579	1402.577363	1391.134243	0	0	0
O00154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18013.81906	25379.96766	53939.82781	98996.06134	216188.1275	423465.9345	808167.9658	1046858.849	1008760.671	722402.3504	784264.1951	851490.6014	1905394.955	2960515.858	2694076.582	1089259.214	382031.2706	168581.8936	126766.5615	109894.7348	83053.17164	58157.5458	46293.37382	37880.22575	40959.62628	38794.19338	34952.31429	26965.28423	39384.89957	36897.92719
O00159	89915.13658	98931.49827	89460.11787	71832.03756	70061.35077	70224.29256	49763.54512	40757.57877	20954.57621	20133.4686	26530.43364	32237.45754	26529.91854	15745.05412	21034.82198	26369.16635	32027.83602	27779.7654	34978.69483	22285.37731	19876.51519	24224.68879	9583.148115	4343.710808	18447.10854	42686.07672	53412.88664	51094.26672	52587.01649	41583.20275	38399.26986	40651.66502	33730.87374	9696.59041	7093.720844	6406.486118	5097.355898	3878.964645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3853.345442	3699.29172	3275.769968	3545.237997
O00161	31010.48728	52327.88193	82188.70015	112429.5403	120430.9445	137402.7498	144340.0937	141775.7144	125844.3518	127025.3116	133524.8289	116431.7322	117299.8654	106791.4952	96985.88844	75751.31565	60790.68936	46704.81328	45131.31346	41568.52156	36061.10759	23933.14821	22826.47355	10825.45187	10637.13997	10769.36272	0	0	9457.474819	10192.26548	13201.36848	16855.53751	21969.63736	26698.35344	37476.07453	30482.32068	34771.65899	32571.0042	39755.79421	68248.05748	129320.0898	157783.3244	100323.6529	86817.7044	26031.45315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2098.722393	2602.076313	3617.54474	3105.430232
O00165	48764.46444	93130.85887	99721.31544	124416.0709	116322.0498	124447.1909	120731.8136	112451.765	94465.53579	103233.7665	92336.71415	87001.98962	81621.56709	64302.99805	62911.78736	60511.92777	51616.8475	42842.7695	38982.17011	34282.6645	34421.21636	36832.76849	27882.86285	17402.6193	9980.216373	2897.280045	4897.10638	4822.237729	2906.64811	16674.06451	16088.04655	24258.81921	9044.971045	8682.066268	7555.531136	7962.333479	10826.63684	7950.311998	5371.891882	4999.071045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2265.073956	3747.061246	4721.758899	2943.735823
O00170	3947.001588	20286.50209	34949.95585	42551.0538	37996.05883	38951.33723	39895.85999	40868.01953	38938.66179	48826.86529	48824.44242	34104.01669	34199.6216	30994.1916	39247.86754	40068.0598	38349.63877	31048.59607	20712.68641	20945.91542	22490.96033	32646.91181	34483.84434	30335.87046	35076.14823	39868.63574	51612.02023	72169.02128	69260.91771	65113.65949	56926.41025	48701.01439	45224.29178	51444.10264	47243.30034	81638.65001	98817.56098	124282.7807	156092.0897	154555.5948	149340.7689	158470.2451	124385.571	183380.2509	558578.6171	1765961.015	2739362.74	2219403.446	760349.8523	262667.1067	173613.9698	109717.4992	86317.46334	64003.69647	52771.63312	41836.97229	28080.79719	27286.39441	21008.9511	24697.73839	18799.33747	25399.73932	21091.85789	19488.99265	14242.25759
O00178	0	4281.14544	9728.494999	10845.20765	10758.71778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8855.282082	7233.885541	17610.80518	20942.32718	21112.1506	29450.36682	37119.50227	65431.18751	161958.3537	338513.9268	330897.9479	214413.6351	176587.9174	160927.2969	122329.1037	97389.93716	36267.88384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00186	38042.73522	86307.17214	135932.9419	157405.7813	192180.9477	208220.2372	225010.8684	190903.6014	180432.0406	185350.1735	185625.8834	186373.8228	173099.7207	147811.675	129863.249	110016.0766	100329.1177	83374.56383	51738.27543	43099.74786	42681.55013	39959.95982	31300.51013	26174.0704	29255.20665	24092.86142	23236.06766	17936.35774	23340.27652	12016.06206	9755.333278	11986.64132	9931.260136	10640.5913	9936.676725	10538.1812	10334.67699	11258.92527	12045.82588	14539.20061	18581.31561	23499.12739	24279.78484	24712.31981	29868.28647	58160.16191	58957.27382	77660.87743	56750.12443	37371.12459	7779.073063	8350.063329	6504.819544	6326.442542	5783.555641	5129.573803	4204.622444	3616.692644	4716.358208	4892.248235	5036.625274	12444.79244	9705.098474	24129.03222	17611.69466
O00189	318.0559729	16531.47518	18725.67246	10205.5104	9394.485326	0	0	0	0	0	21584.26438	15342.54441	16030.57804	10832.34642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28276.92673	85191.64125	108737.7155	97361.17779	72269.08075	32560.96594	3897.94073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6408.003928	19406.92553	80300.3156	150937.3585	262336.9668	383254.9136	363190.5397	228103.9824	47957.09286	21760.63296	16513.50277	0	0	9066.232401	4643.101617	4631.373803	0	0	0	0	0	0	0	0	0	0	0	0
O00203	23198.69821	66170.13652	88385.37671	104344.543	104401.3637	125933.2851	155768.1695	150612.0151	149644.8307	178159.6366	184599.1243	174563.4333	137727.971	116287.5128	109762.3628	105475.5665	97306.19822	96682.02259	99865.91774	109045.8881	139961.8836	151828.2788	149421.8637	156300.7153	154305.1328	95215.56706	43977.83254	30185.53486	31017.25569	18365.59048	10876.78926	8531.474208	7039.0676	6915.596983	5839.659179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4144.246478	4663.791141	5303.125057	4849.8476	4268.003411	3574.135823	4488.398381	5307.516725	4353.533052	5677.408721	6742.111004	6364.177874	4725.891366
O00213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00217	104131.8891	182644.8041	225437.9645	250530.1284	252221.1332	254074.1618	262465.4873	240620.4462	221906.5603	233753.8176	227302.8637	209168.3283	216996.1143	188668.1814	205653.7135	174596.197	144645.0053	131202.7154	120346.8785	104182.8995	93372.92884	68383.48162	59577.65992	33430.87323	22868.40483	10147.92133	12276.58589	11460.67883	34950.74224	15112.7847	27129.24972	19820.05772	25117.28383	18187.14729	15770.72975	5233.628613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8662.073445	19303.87746	26818.29793
O00220	0	0	19688.35183	22977.80892	67201.23157	70805.07221	75105.0668	56715.79196	55526.66505	68390.79243	84036.37322	75708.12037	54998.03616	48871.12012	53709.88739	53083.74662	47429.97295	38022.79245	35927.89824	9148.435403	7578.983876	2585.897965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7433.688666	11048.52896	18075.07302	32278.49319	46521.17488	51194.58242	30326.03105	15654.00095	9594.981052	2103.489104	2006.125735	2545.372029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
